Reviews1,Theme1
People are open and trust worthy,Openess & Trustworthy
Working as a team is source of happiness.   once a concern is faced ( personal or professional) all the team members are united together. we are all working as family.  ,Collaboration and Teamwork
Absence of unnecessary pressure,Stress free work
"Transparent communication, freedom of work with ownership",Trasnparent Communication
"""openness"" is the biggest source of happiness in cmi. although i have joined 1.5 month back , but i feel equal opportunity is given to people at all levels to speak up , express their views/ideas and it is listened and considered.","Trasnparent Communication, Equality"
Continuous focus on core values,Values of the organizations
"Friendly work place , learning for personal opportunities .","Positve Organizational Culture, Opportunities for Personal Growth"
Gip as per performance ,Perfomance based incentives
The biggest source of the happiness in our organisation is the way we interact with each other. the senior most person can be reached by the junior easily. ,Approachable top management
"Friendly work culture   share any problem regarding the working, always we get a positive response every time from my department.  ",Positve Organizational Culture
Not as such,NA
Working culture is very good.,Positve Organizational Culture
People working over here and manner to deal with people.top most management and there way to talk with other people,Approachable top management
Facility & support provided by organization on timely.,"Facilities, Support from Colleagues"
Flexibility and support.  during any personal problem people understand your situation and support in various ways(official timing/leave/work load diatribution etc),"Flexible policies, Support from Colleagues"
Learning from day to day work issue. ,Culture of Learning
"Every day planning for proper allocation of work, cooperation among the departments",Collaboration and Teamwork
That is a team work with strong commitments towards organizational goal achievments.,Collaboration and Teamwork
All of my colleagues and senior management are very cooperative & helpful. they encourages me in every way & believe in team work.,"Collaboration and Teamwork, Support from Colleagues"
Good team work.  work with nout blamming.,Positve Organizational Culture
Nothing is so special to you about,Na
Open culture of communication between all employees ,Positve Organizational Culture
Good team work    health enviornment of working,Teamwork & Collaboration
Bonding among people,Teamwork & Collaboration
There is no source which gives you a tingle.,NA
"Respect for individual, openness and ease in sharing of thoughts and ideas are some of the things worthwhile mentioning here.","Openess & Transparency, Mutual Respect"
There is no hierarchy restriction in our organization we can discuss any small of big issue with our boss & plant head at any time without any delay & appointment formalities. ,Approachable top management
Skills development programs  trainings  get together programs  sports activities  activities performed for social cause,"CSR, Learning and Development, Get togethers"
Emplyees and mangement of organisation,Relationship with colleagues
The enablers that create an environment of happiness is good dedication for work.  ,Ownership / Accountability
No comments,NA
"Good environment within factory - like md meeting in every month , cultural  program vishwkarma pooja and family day celebration."," Positive Organization Culture, Employee Engagement - Get togethers, celebrations"
Hr,Business Enabling Functions
,NA
Support of all team members in case of any problem either personal or official,Supportive colleagues
"Trust on employees   recognize good work  care for employees health , happiness and well being .  ","Trust, Employee welfare"
Transparent policies create happiness,Transparency
Stress free organization,Positve Organizational Culture
Positive vibes and motivation from ther seniors,Motivation from senior management
For an happy environment within a organization basic requirement just like transport facility should be available for an employee. commination is a essential tool in any organization so it should be clear & proper. ,Openness and Transparency
The enablers are get together that create an environment of happiness in the organization.  ,Employee Engagement - Get togethers
Overall working culture is good & people are supportive in nature.,Positve Organizational Culture
Not as such,NA
Reliable and help each others,Supportive colleagues
Result orientated team work achieve the goal with positive attitude  ,Teamwork & Collaboration
Work culture / decisions/ new ideas implementations/,Positve Organizational Culture
,NA
"1.   family day celebration - i deeply pay gratitude for this to cmi,  i still remember the day my family joined this family         day celebration, their eyes were full of tears for happiness and tehy proud feel at that moment that i am a part of cmi. i         can't forget that day.  2.   birthday celebration  3.   festival celebration with team ( diwali, holi )  4.   yearly appraisals.  5.   open platform to  explain your ideas and implementation if found worth.  6.   helping employees in need either financial or personal guidance .  7.   flexibility in office timings.  8.   5 days week in off season  9.   recognition of our efforts and appreciation of efforts by rewarding them.   10. positive approach   11. i do really feel thankful and feel lucky myself to be a part of cmi.    ","Employee engagement - family day, birthdays, festivals, Rewards and Recognition, Flexible policies"
Appreciation of peoples by higher management monthly appreciation meeting with md  ,Appreciation/ Recognition
1.working with no boundaries - seamless working.  2.mix of people from different organizations - still appreciating the different approaches.,Amalgamation (ORG X and midea)
"Flexible hours, relation with the seniors, free to take decision, access to seniors","Approachable top management, autonomy"
Top management  hr department  ,"Approachable top management, Business enabling functions )hr)"
"Openness , friendly environment (team work) and motivation are enablers that create an environment of happiness in the organization.  last week in cmi factory , there was shortage for a paricular part which could have resulted in production halt for next 3 days. all concerned from r&d,quality,sourcing,production were on shop floor to discuss on alternate idea , find solution and support each other in the activities planned.    ","Openness and Transparency, Positive organization culture"
Respect and integrity,"Mutual Respect, Integrity"
A positive environment ,Positve Organizational Culture
Officially party ,Employee Engagement - Get togethers
"The way our cultural team organises celebrations of our festival, that is awesome. it create some home environment in the office.",Employee Engagement - Celebration of Festivals
Every employees is working for cmi. when we achieve the targets automatic create environment happiness.,Achievement of Targets
Not as such,NA
Systematic working,Working in a Systematic way
,NA
Hr and supporting departments,Business Enabling Functions
N/a,NA
Challenges of new development & projects.,Challenging assignments
Working as a team,Teamwork & Collaboration
Fesival celebrations and spirit  of equality is highly appriciable.,Employee Engagement - Celebration of Festivals
Festive celebration & spirit of equality is truly appriciable in this organization.,Employee Engagement - Celebration of Festivals
We all celebrate fastival as a family together,Employee Engagement - Celebration of Festivals
Innovation derives to move ahead with organization,Culture of Innovation
1. unity & support of all the team members for resolving issues either personal or in company projects,Supportive colleagues
All festival celebrate together in the company,Employee Engagement - Celebration of Festivals
Respect and appreciation are the enablers. ,"Mutual Respect, Appreciation"
,NA
Close bonding with in the employees is giving us the required strength to move forward.,Collaboration and Teamwork
No disparity at every stage.,No disparity
"Trust, informal relationship, strong brand value.","Trust and friendly environment, strong brand value"
Na,NA
,NA
No comment,NA
Good renumeration, 
.,NA
Camaraderie among employees,Camaraderie
"Work life balance, supervisor's support","Work life balance, Manager support"
Good working environment,Positive Organisation culture
Employee engagement activities  learning platforms,Employee engagement and culture of learning and development
Celebration of each achievement. ,Success celebration
Consideration of everybody's opinion while taking decisions that influence everyone. a democratic decision-making mechanism.,Autonomy
An opportunity to grow ,Growth Oppurtunity
"Employee connect through various engagement activities like picnic, games, story telling etc creates a good culture & nice environment to work.",Employee engagement 
Work level balance,Work life balance
Freedom & space to work on your own., 
"Organizing fun activities at workplace, excursion trips, etc",Employee engagement
Celebration of festive occasion. rnr  functions,"Celebration of Festivals, R&R"
Only business achievement,Achieving business goals
Engagement & constant motivation  timely communication  learning opportunities   career advancement without restriction on location  making feel important  ,Employee engagement and motivation
Employee connect with stakeholders which is motivating for regular delivery. ,Employee Connect with satakeholders and motivation
Happy go lucky ,happiness
Doing li,Work
Lkh8ygkutf,NA
,NA
Na,NA
.,NA
X,NA
Open and trustworthy culture creates an environment of happiness.,"Openess, trustworthy and transparency"
.,NA
People connect  regular communication  transparency,Employee engagement and transparency
Openness & removing designation hirearchy,Openess and Equality
1.open culture  2.transparency  3.growth opportunities & free from biasness,"Open Culture, Transparency and Growth Oppurtunity"
No idea,NA
.,NA
"Family feeling, trust",Family Environment and trust
Frequent communications,Frequent communication
"Feeling valued , respected, being acknowledged, appreciated.  trainning, giving new assignments, responsibilities . ","Respect, values , new assignment, culture of laerning and development"
Na,NA
Opportunities available within the organisation,Growth Oppurtunity
"Flexi work hours, freedom to complete the task in the process best suited for the individual.",Flexible work environment
Not sure.,NA
Leaders guiding team,Guidance from leaders
Work atmosphere is good ,Positive work culture
.,NA
"Festivities celebrations. customer level participations. social awareness, saturday dresscode liberties are pleasing.","Employee engagement, customer participation"
My team,Team work
,
We live life in making others life easy.,
Our organization encouraged employees to speak up and share things that bother them ,Organizations Open door Policy
Future Success,
provide new challanges.    Like- New project have done in that i have also participate.,New Challenges in the work
   here colleagues are  like a family. I have a very good relation with them.,Organization culture & Work Enviornment
ENJOY FUL WORKING,Organization culture & Work Enviornment
Events,Recreational activities
"Freedom to Work, ",Freedom to Work
LEARNING FROM FIELD,Learning Platform
Work environment ,Organization culture & Work Enviornment
WORKING TOGETHER AS TEAM,Working as a team
Something Required,
No source of happiness,
company culture.,Organization culture & Work Enviornment
There is lack of happiness in our organisation due market crisis.,
Cohesiveness to work with passion and create excellence,Organization culture & Work Enviornment
Our Organization is one of the best place to work with. Work culture is extremely good here.,Organization culture & Work Enviornment
ORG X Family,ORG X Family
Happy people are a lot more fun to be around and consequently have better relations at work. This translates into:    Better teamwork with your colleaguesBetter employee relations if you’re a managerMore satisfied customers if you’re in a service jobImproved sales if you’re a sales person,
nature of seniors,support from team and leadership
Transparency and motivation and Support,Transparency in the Organization
"Our organization appreciates every individual for his/her excellent performance and distributes appreciation awards to encourage them...for ex. Kaizen award/Star award/Team award,etc.  ",Appreciation from Senior management
It is the cooperation between all & the way of working mutually.,Working as a team
Friendly working environment. Eg. people here in ORG X are very supportive and friendly.,Organization culture & Work Enviornment
worked with best employees in industry  learning work how to achive goals positively and good relationship in market,Colleagues
secure job,salary
Good communication and relationship is the biggest source of happiness in my organization.    For example- my team all member so good and all information share with our team.,Colleagues
Motivation by the Seniors  Family feeling in my organisation   Growth & many more,Organization culture & Work Enviornment
Good working condition is the biggest sources of Happiness in our organization.,Organization culture & Work Enviornment
good culture- like policies and transparency,Organization culture & Work Enviornment
Good working condition is the biggest sources of Happiness in our organization,Organization culture & Work Enviornment
what they said and try to complete their commitment ,
Be true and hard work company grow and me also go high,Values of the organization
My organization gives similar opportunities to everyone & Leaders are always ready to support in any circumstances. ,Equality amongst employees
Learning Platform.,Learning Platform
Good,
Culture & working environment,Organization culture & Work Enviornment
Continuous improvement.,Continuous improvement
"Company Policy, Culture, Support.    By the support of company we are the best customer  service brand in our category. This feedback frequently getting from retailer / distributor which makes me feel happy.     As a whole being a part of ORG X is making me happy.",Organization culture & Work Enviornment
trust and make happy to employees,Trust of organization towards Employees
The biggest source of happiness is when one takes care of your needs and demand every time you time. ORG X as an organisation always stood by my side whenever I need it and all the employee also working in the same direction.,Employee friendly policies
Our organisation is well taking care of his employee,Employee friendly policies
Encourage us to inhance our career,Continuous improvement
our RM and colleges,Leadership Team
tour and refreshment plan. ,Annually trip
R&R,R&R
working Culture,Organization culture & Work Enviornment
"Training Provided by Management , ask to us if we have any issue & resolved the problem ",Training Oppurtunities
Good Organization,Organization culture & Work Enviornment
friendly culture,Organization culture & Work Enviornment
All good there is no suggestions,
Encouragement ,Appreciation from Senior management
Team Work.,Working as a team
When we get together like in training or meeting,Celebrations during Occasions
Never lets you down,
On roal job,
"People, Culture, Policies, Transparency, Leadership",Organization culture & Work Enviornment
The biggest source of happiness is that if any individual perform above average then he/she is being awarded with some special recongnition. And the performance is shared with all over e-mail.,Employee friendly policies
Culture and Ethical things to practice,Organization culture & Work Enviornment
freedom at work. company has provided laptops so we can carry it wherever we have any urgent work.,Freedom at Work
"My Colleague,    Everybody helping nature",Colleagues
work culture and empowerment ,Organization culture & Work Enviornment
Annual Trip with the department colleges as we get to interact with everyone member who is working for the same purpose which is company's growth as well as on professional level..!!,Annually trip
 friendly people's ,Colleagues
Communication,
Good team work,Working as a team
Work Culture and Employee Importance,Organization culture & Work Enviornment
Lot of learning opportunities,Learning Platform
when we had  any work complete with successfully then appreciated by  senior or top management like that R&R  ,Appreciation from Senior management
It takes all employees of our organization  as a family member. ,Organization culture & Work Enviornment
Our organization provide us new challenges & rewards  1- Cross functional team doing project in different areas.   2- Rewards programme motivate the employees,Appreciation from Senior management
"R&R, Team bounding",R&R
"Everything is source of happiness..  Our vision integrity, passion for excellence etc.  ",Values of the organization
"The though and opportunity to becoming first Global Mobile Brand from India, excites me the most and is the biggest source of happiness for me.",Brand of ORG X
Celebrating the every achievements with the team.,Celebrations during Occasions
Empowerment to the people in this organization to do work in favor of company vision & goal. At ground level our ASM has right to take right decisions.,Employee Empowerment
1. Open door Policy  2. Twice appraisal cycle in a year,Organizations Open door Policy
"Work environment, like help to other person in him growth in organization ",Organization culture & Work Enviornment
Following are the source of happiness:-  1) Open door policy  2) Two times appraisal cycle during an year,Organizations Open door Policy
Good Knowledge and working ...,Learning Platform
Empowerment of sharing views/opinion,Employee Empowerment
culture,Organization culture & Work Enviornment
Lots of learning in SAP programming ,Learning Platform
Open door policy & Twice Appraisal cycle,Organizations Open door Policy
Opportunity to growing personnel  ,Employee engegment programs 
The biggest source of happiness is rapidly changing external & internal environment which keeps me motivating for the challenge.,Organization culture & Work Enviornment
Giving chance to show their talent.,Freedom at Work
Our Leaders. They give us space for trying out new things and also keep mentioning so that we dont fail.,Freedom at Work
Living small small successes and sharing one others happiness,Celebrations during Occasions
My Joining,
Friendly working environment. ,Organization culture & Work Enviornment
Now a days it is completely missing,
Freedom to execute,Freedom at Work
Nothing as such but yes acknowledgement of achievements is something which is good. ,Appreciation from Senior management
friendly atmosphere & no boundation,Freedom at Work
Time to time update on every products ,Transparency in the Organization
Values of the organization,Values of the organization
Friendly working environment ,Organization culture & Work Enviornment
"Lot of Learning exp.,handling of major improvement projects & delivering result in short span",Learning Platform
Transperace,Transparency in the Organization
Employee friendly policies. ,Employee friendly policies
Good colleagues ,Colleagues
"My organization do take care of the physical & mental well being of their work force by enabling to facilitate the right kind of work environment, setting right values & work ethos.",Employee friendly policies
Real Time Problem solving,
Celebrating festivals with traditional dress and celebrating birthdays  ,Celebrations during festivals
Better teamwork with your colleagues  Better employee relations if you’re a manager  More satisfied customers if you’re in a service job  Improved sales if you’re a sales person,Working as a team
Some funny activity on festival & monthly cake cutting for Employees birthdays comes in current month.,Celebrations during Occasions
Achievement ,
Something learning is there each day,Learning Platform
Culture and peoples,Organization culture & Work Enviornment
Working Culture is Good.,Organization culture & Work Enviornment
The salary that is credited to your bank account in the end of the day is the only happiness that I am able to get from the company.  ,salary
the working culture in which we work as a team.,Organization culture & Work Enviornment
This company is employee oriented ..,Employee friendly policies
relationship buildup and gud behavior,
Department Culture is the best source of happiness .,Organization culture & Work Enviornment
Only one  Salary credited in account in last working days of month,salary
Annually tour.  It give us refreshment and more activeness to do the work.,Annually trip
"When any team mates make efforts to achieve something above the normal expectations, he is being highlighted that makes us happy.  Example:- in recent past when My ORG X Application launched every members of the sales team was asked to punch RU bill book update of each and every counter where we do business. and within a very short period of time one of Female member from kolkata achieved that with 100% accuracy and completeness. She was being recognized by out COO too.   That was a moment to cherish and this way we get happiness in our organization.  ",
Employee engegment programs ,Employee engegment programs 
The awards given to employees to motivate them.,R&R
culture of the organisation and career path.,Organization culture & Work Enviornment
Workflow,Organization culture & Work Enviornment
Gaming facilities in the organization and the comepetitions ,Recreational activities
5 days working culture of organisation .  connectivity with higher management  ,5 days working culture
providing tour facility to employee.    we have visited Nainital with our team. it was memorable for us,Annually trip
Team Support & Given proper Learning time.   ,support from team and leadership
Bottom to TOP level communication system.,Two level communication system
Not applicable for my organisation,
I feel delighted by the fact that the whole organisation works with one unified ambition to serve our customers in the best possible manner.,Values of the organization
Opportunity for everyone and appreciation process ,Equality amongst employees
salary always coming on time,on time salary
OPENESS,Transparency in the Organization
My Team & my manager. They are very supportive & help me learn new things and represent my team in meetings,support from team and leadership
Our organization have good commitment and good relationship with employes,Employee friendly policies
Great team. All persons are professionals and ready to work as team,Working as a team
Reward and recognition,R&R
"Eaphoria Team : they will plan some fun activities during the work.  Fun Friday, Diwali Celebrations, Christmas Celebrations & many more",Celebrations during festivals
Trust:    People trust each other which helps in making the environment happy,Trust of organization towards Employees
Team Work is Biggest Source Of Happiness in my Organization.,Working as a team
Personal and work life balance ,
Atmosphere,Organization culture & Work Enviornment
"Vision , values , create possiblity",Values of the organization
"Our management is so good, i think they make our happiness.",Leadership Team
Employee salary   Job security  Career development  Work-life balance,Employee salary and job security
Not yet found,
The way employees are empowered to take responsibilities and decisions in their area of expertise.  ,Employee Empowerment
Team member awesome coordination and support,Working as a team
Health and team work,Working as a team
Values of the organization.,Values of the organization
Team work with leadership ,support from team and leadership
our values and culture of work.,Organization culture & Work Enviornment
Empowerment.,Employee Empowerment
"The top management practice what they preach.  The values of the company are not just statements - but truly practiced, first by our Top Management and then by the company.    Also, the compassion for people and the desire to make them comfortable so that they can give their best is a big source of happiness.  ",Values of the organization
Trust by manager in employees capabilities & appreciation for good work,Trust of organization towards Employees
Team is interconnected with each other.,Working as a team
Achievement and recognition through time-wide hard work.,Appreciation from Senior management
Open environment with opportunities to learn,New Challenges and oppurtunities 
Cafeteria time with colleagues.   When we care and share home foods.,Enjoyment with colleagues
Empowering people,Employee Empowerment
The culture of the plant is biggest source of the company,Organization culture & Work Enviornment
Working in a group,Working as a team
There is as such no source of happiness. The vertical head doesn't believe that anybody should be happy during their work.,
There is no source of happiness and inspiration in our company. Our vertical head does not approve of people talking and laughing among themselves.,
The energy Level drive from top to bottom(positive VIBES and positive ORA),Leadership Team
Learning and career development  Appreciation for your work  Job security,Appreciation from Senior management
After Office,
Values and openness in communication,Values of the organization
Incentive to encourage  people to work.  R & R is celebrated every month to motivate people to work efficiently.,Appreciation from Senior management
Good future And Compny Payroll job,Employee salary and job security
Genuine..for example perfect salary on date.,Employee salary and job security
"Very good employee caring policy, good career path , ijp .      ",Employee friendly policies
 Organizational Values and the feeling for working in an ethical environment produce an inner joy and a feeling of self-fulfilment. Doing the right thing for the right people is inherently a joyful activity. ,Values of the organization
I feel a sense of well- Being I do something new for Lot's of experience and make me Happy,
"Biggest source of happiness in my organization is that to serve better and best things to people,and the employees ",Employee friendly policies
ORG X- family,ORG X Family
Salary Structure .  Last time My salary was very minimum but company had decided to revise salary as per market correction on behalf of Activity .,on time salary
Transparent communication,Transparency in the Organization
"Happiness is to share our feelings and thoughts to each other. We believe in equality. We never dominate the failures, instead we try to pull them up and keep along with us. ",Equality amongst employees
Always think for employees.    Example: ORG X HOD interaction with employee time to time.,Employee friendly policies
The parties after the monthly meets with the team.,Celebrations during festivals
New opportunities for learning of employees within the organization. latest working technologies at working area. ,New Challenges in the work
the biggest source of happiness in the organization was the way employees being taken care of. they always empower employees by training and assessment to the next level.,Employee friendly policies
Good relationship and well behavior among all company employees.,Working as a team
Empower to each peoples    Day to day Process correction  ,Employee Empowerment
Nanital Tour ,Annually trip
"My ORG X,    But not get right now from last two years.",ORG X Family
"When I joint ORG X Mobile , i feel diferant culuchur ,   ",Organization culture & Work Enviornment
Empowerment to the people and trust,Employee Empowerment
Only system and process of company. Example- lot of system and process which drives our business.,Organization culture & Work Enviornment
Working culture that resonates with our vision and values.,Organization culture & Work Enviornment
Working with like minded people. Its fun and a good learning experience,Working as a team
Learning and development and carrier build,Learning Platform
integrity    its gives us empowerment which others not ,Employee Empowerment
"It's transparent to all , everyone have right to share ideas, trusting everyone,",Transparency in the Organization
Empowerment.  we are owner of our professional daily work.. due to same life balancing is possible ,Employee Empowerment
Friendly Environment ,Employee friendly policies
"The people whome I work with.  Eg.- My colleague Anil sir who always helped me in this organisation, how to Handel different situations.",Colleagues
getting appreciation while performing good work.  getting CSD appreciation from our CSD head for doing good work in my area,Appreciation from Senior management
Better teamwork with your colleagues  Better employee relations if you’re a manager,Working as a team
"New challenges, work environment, empowerment",New Challenges in the work
It is not only one but sharing the best practices is. Like we received work from departments and guidance also to operate it. ,Organization culture & Work Enviornment
Positivity,
Work with pride and honestly. My organisation incourages me to work fluently in any condition,Organization culture & Work Enviornment
Higher Management talk to employee time to time.,support from team and leadership
When Manufacturing team achieve highest production qty in a day/month,On achieving targets
Good working calture  professionalism   Reporting managers behave like family members ,Organization culture & Work Enviornment
Less time,5 days working culture
"Openness and easy access to top management, accepting new ideas",
Liberty to try out your skills and learn by doing it your way. Empowerment to be precise.,Freedom at Work
its open culture,Organization culture & Work Enviornment
"Commitment to Partners   ex: Freedom to raise ticket for any issues, in time settlement ",Freedom at Work
Sale.,
Empowerment,Employee Empowerment
In training i have learned lot of things,Learning Platform
Its all senior humble and pulite lisen to every one solve the any problem.,support from team and leadership
Family culture....,Organization culture & Work Enviornment
team leading no hypertension so.. continue smile on your face postivines..,
When we achieve something as a team,Working as a team
Good team and good college,Colleagues
we have a good management team our organization always give chance to learn this is the best source because people generally getting bore to do same work daily our organization doesn't follow.,Leadership Team
The Core Values,Values of the organization
Transparency & Express our vision & new idea's,Transparency in the Organization
Believe ur self ,
Free flow communication from lower level employee to top level management.,Two level communication system
"Recognition as top performer in terms of appreciation, awards, increment and promotion",Appreciation from Senior management
Salary,on time salary
My team,Colleagues
Learning opportunity,Learning Platform
Balance with work life and family ,Balanced professional and personal Life
I don't know ,
Company is giving best in every way ,Organization culture & Work Enviornment
by friendly nature,Employee friendly policies
Always appreciation.and timely all needful thing,Appreciation from Senior management
"Employee engagement and happiness is definitely one of the topics du jour for modern management and the future of work. Plenty of studies have already (and continue to) come out that show how low employee engagement is around the world (only 13% of employees are engaged and 87% are not!). Low employee engagement numbers correlate and oftentimes directly cause decreased productivity, wasted resources, and an overall toxic environment that nobody wants to be a part of…and why should they be?    This is why it’s important to understand what employees around the world value in their jobs. ",Employee engegment programs 
Friendly Environment. ,Organization culture & Work Enviornment
following of core values of ORG X,Values of the organization
"Openness, and Trust which organisation shows on each employee.",Trust of organization towards Employees
Some friends ,Colleagues
Process orientation.,
Family and Friends circle,Colleagues
Good relationship and well behavior among all comapnay employees ,Colleagues
Continues learning ,Learning Platform
Openness to Initiatives. ,New Challenges in the work
Every employee is equal ,Equality amongst employees
"Unlike other organizations in the same industry, it is a comparatively better place in terms of work environment.",Organization culture & Work Enviornment
Plan for group motivational,
1.Freedom to express ourselves &part of decision making.The Vision document of 2021 was prepared getting input from all management cadre ,Freedom to work
"* Openness to express our views
* Freedom to work",Transparency
"Free hand given to work independently 
Decision I make in day to day activities along with my team interaction are always supported and concurrence is given by my seniors  ",Team bonding
HOMELY ATMOSPHERE,Positive organisational culture
"Good relationships with superiors,colleagues and subordinates.  ",Leadership style
Openness,Transparency
work flaxibility,work environment
GETOGETHER PROGRAM AND PICNIC ,Employee Engagement
1. Greetings on birthday,Employee Welfare
"salary time to time,work to satisfication,",Timely  salary
"Friendly atmosphere, feel at home. ",Positive organisational culture
Salary,Salray/bonus
Allowing people to work like entrepreneurs ,Freedom to work
Freedom to explore ideas in R&D and pilot scale.,FReedom to work
"1. work without botheration.
2. Can take leave as and when required. 
3. Colleagues are good in nature.",HR policies
CANTEEN FACILITY IMPROVE,Employee Welfare
Fulfilling comittment at the end of day.,Trust
Friendship among workmen,Team bonding
"Celebrations- Birthday celebration, Long time service awards, team dinner, education enhancement",Employee Engagement
agriculture,CSR
"Farming,agriculture",CSR
"Empathizing leadership team
Good personal and professional relationship/bonding
Work life balance
Positive attitude of personnel
Supporting managers",Work life balanceWork 
being appreciated for the good works done.,Rewards & Recognition
People around us are open minded and transparency of work makes happy in our organization.,Transparency
Hardly Nothing,N.A.
Well being work culture for every one.,Employee Welfare
Work Culture values - Ownership in work created between the employees.,Positive organisational culture
"Appreciation, good relations with colleagues: When good things are done the person responsible is appreciated in group meetings. ",Rewards & Recognition
The organisation appreciates and promotes the learning culture and hence helps the personal growth.,Rewards & Recognition
"freedom to work and experiment, good salary ",FReedom to work
Our organization has the practice of celebrating each and every employee's birthday  ,Employee Welfare
Family concent. At SCIL we consider ourself as one family,work environment
"Free and fair atmosphere. If we face any doubt, problems with office works/systems, we can approach freely with seniors and sorted out immediately.",Transparency
"Freedom to work and learn. Good pay package. Excellent group. 
",Freedom to work
The friendly relationship among collegues,Team bonding
"If working days is 5 instead of 6
",N.A.
The collabration amog emploees in the department.,
"freedom of learning new things, helpful top management ",Freedom to work
"Work satisfaction, Transparent environment, ",Transparency
Director's of our organisation as they are very friendly with employee. They are very human and nice people with high values. ,Leadership style
"Freedom at work   
Honesty & Transparency
",Transparency
Sharing of experiences both technical and personal.,Team bonding
"company is giving salary as per current market scenerio & there is a superb bonding in between all employees, which gives biggest source of happiness.",Team bonding
FREEDOM TO WORK AND MUTUALLY UNDERSTANDING TEAMMATES,Freedom to work
NA,N.A.
"Values of the organization. (Eg: No software piracy).
Employee friendly. (Lowest attrition in Kochi)
",Values of the orgnaisation
"Appreciation for your work, Good relationships with colleagues, Good work-life balance,
Good relationships with superiors, Job security, Career Development etc.",Rewards & Recognition
Our organisation takes care of our annual health check. Specific amount is sanctioned,Employee Welfare
"Good working environment, Clarity of targets, Job roles and responsibilities",Work environment
Trust on each other and encouragement of our CEO and Management for OUT OF BOX thinking,Leadership style
Work-Life Balance,Work life balanceWork 
"good management ,and owner",Leadership style
"companey facility  policy,good managment ",Leadership style
"reguler salary,well mmgement ,work and my operation sattisfication ",Salray/bonus
"canteen facility,and work flexibility",Work life balanceWork 
"facility in company , work flexibility,canteen facility",Work life balanceWork 
"company picnic,regular salary..trusted managment",Leadership style
work flaxibility,Work life balanceWork 
Celebrating success with the team involved in any of the projects.they are involved. Celebration on SAPO 11 product development encouraged team to repeat such successes.  ,Employee Engagement
Good relationships with superiors,Team bonding
"Work Culture, Most of employee execute the assinments with joy",Positive organisational culture
SCIL culture and working atmosphere ,Positive organisational culture
There is a recreation room for all employee to relax for 30min in a working hours.,Employee Welfare
"good mangment,and company policy",Leadership style
"Good management , work flexibility",Leadership style
na,N.A.
NA,N.A.
nothing ,N.A.
NA,N.A.
asas,N.A.
Pass,N.A.
NA,N.A.
na,N.A.
Kk,N.A.
no comments,N.A.
NA,N.A.
nothing,N.A.
na,N.A.
shift in good work habbit ,Positive organisational culture
work culture,Positive organisational culture
the organisation's culture,Positive organisational culture
work culture & colleagues makes good atmosphere to be happy,Positive organisational culture
"reguler salary,incriment ,good magment  ,honest employe",Salray/bonus
"transparency ,engorgement for new development, need base training ",Transparency
The biggest source of happiness in our organisation is freedom in the workplace and good collegues,Freedom to work
Canteen fecility and work freedom,Freedom to work
The biggest source of happiness in our organization is the sense of ownership in our work place and the freedom we enjoy here in our work.,Freedom to work
freedom,Freedom to work
Handful of colleagues,Team bonding
work,Performance management
our work culture and colleagues,Positive organisational culture
"If we have face any difficulties, we can approach directly to our Management.",Transparency
The over all culture of the organization. HR policies etc,Positive organisational culture
team sprit in the department,Team energy
"The freedom of Execution .
The work assigned can be executed without interference of others.",Freedom to work
The freedom of work. They opportunity to express our feelings and views,Trust
Celebrations with collegues after achieving particular task given by manangement. Any production target with delivery time frame.,Employee Engagement
Attitudes and behavior of employees ,Team energy
Friendship among employees,Rewards & Recognition
I feel Familiar atmosphere ,Positive organisational culture
"Enjoy the technical challenges &  freedom to work.
Motivated.  ",Freedom to work
A job well done. eg. Achievement of lighting levels in improving work place ergonomics,Rewards & Recognition
"Excellent facilities and good people.
This is borne out by the investment of top management in the infrastructure -- buildings, staff welfare activities , machinery and equipment",Leadership style
"Independence of work with combination of responsibility, accountability and responsibility make me happy.",Performance management
Team work and freedom,Team energy
Teamwork,Team work
team work,Team bonding
Personal care and Humanity of owners..,Leadership style
We feel like our family - all are very cooperative,Positive organisational culture
Any type of activity or work done with trust / freedom  and trying control people will ego hurt ,Freedom to work
"Culture is good, ",Positive organisational culture
"Employees work jointly for the growth of the organisation.
Employees are having positive attitude. ",Team bonding
Freedom to Work,Freedom to work
"doing task that have meaning. 
ex. action to maximize performance and achieve potential in these tough times.",Performance management
No Comments,N.A.
Security of job and compassion of the directors.,Job security
Organization gives opportunities to handle things independently and new ideas invented by employees are appraised and implemented. Examples: Innovations done in production department and recognition awards given to employees who invented.,Rewards & Recognition
FREEDOM TO WORK AND EXPRESS ONE'S OBSERVATIONS WITHOUT FEAR OF BEING VICTIMISED..,Freedom to work
"The healthy relationships that we maintain with our senior as junior officials , will help us to overcome any cruciaI situations.",Leadership style
We can work in a tension-free atmosphere which is the biggest source of happiness in our organization. Our management is very friendly with its employees and I am sure they will always be there in the need of every individual. Our company give utmost importance to humanity.  For example; my colleague met with an accident and our company given salary for around 8-9 months.  ,Freedom to work
Working environment,Work environment
All colleague are helping in nature. We all help to learn the newly comer.  ,Team energy
"1. Colleagues are supportive.
2. If you work hard, your work is appreciated
3. Offices are well maintained
",Team bonding
"1. We (me and family) feel that we are secure in all ways under our management

",Employee Welfare
Freedom to work with own style.,Freedom to work
technical exposure,Performance management
We have a good working environment.,Work environment
